Consolidated List of Names subject to the Regulations Establishing a List of Entities made under subsection 83.05(1) of the Criminal Code or the Regulations Implementing the United Nations Resolutions 			
on the Suppression of Terrorism or the United Nations Al-Qaida and Taliban Regulations			
PART B – ENTITIES (other than individuals) (download version)1			
"(Names added to the list in October, 2009 are in bold)."			
ID #2	Entity	Address/Other Information	Basis3 (UNSC = United Nations Security Council; RIUNRST = Regulations Implementing the United Nations Resolutions on the Suppression of Terrorism; CC = Criminal Code)
12.01	Barakat Bank of Somalia	"Bossaso, Somalia; Mogadishu, Somalia"	"UNSC (November 9, 2001)"
13.00	Al-Barakaat Wiring Service	"2940 Pillsbury Avenue, Suite 4, Minneapolis, Minnesota, 55408"	"UNSC (November 9, 2001)"
14.00	Al-Barakat Finance Group	"Mogadishu, Somalia; Dubai, United Arab Emirates"	"UNSC (November 9, 2001)"
15.00	Al-Barakat Financial Holding Co.	"Mogadishu, Somalia; Dubai, United Arab Emirates"	"UNSC (November 9, 2001)"
16.00	Al-Barakat Global Telecommunications	"Hargeysa, Somalia; Mogadishu, Somalia;  P.O. Box 3313, Dubai, United Arab Emirates"	"UNSC (November 9, 2001); UNSC (November 26, 2004)"
16.02	Barakaat Globetelcompany	"Hargeysa, Somalia; Mogadishu, Somalia;  P.O. Box 3313, Dubai, United Arab Emirates"	"UNSC (November 9, 2001); UNSC (November 26, 2004)"
16.03	Al Barakat Telecommunications Ltd.	"Hargeysa, Somalia; Mogadishu, Somalia;  P.O. Box 3313, Dubai, United Arab Emirates"	"UNSC (November 9, 2001); UNSC (November 26, 2004)"
17.00	Al-Barakat Group of Companies Somalia Limited	"P.O. Box 3313, Dubai, United Arab Emirates; Mogadishu, Somalia "	"UNSC (November 9, 2001); UNSC (July 25, 2006)"
17.01	Al-Barakat Financial Company	"P.O. Box 3313, Dubai, United Arab Emirates; Mogadishu, Somalia "	"UNSC (November 9, 2001); UNSC (July 25, 2006)"
18.00	Al-Barakat International	"P.O. Box 2923, Dubai, United Arab Emirates"	"UNSC (November 9, 2001); UNSC (July 25, 2006)"
18.01	Baraco Co.	"P.O. Box 2923, Dubai, United Arab Emirates"	"UNSC (November 9, 2001); UNSC (July 25, 2006)"
19.00	Al-Barakat Investments	"P.O. Box 3313, Deira, Dubai, United Arab Emirates"	"UNSC (November 9, 2001)"
20.00	Al-Hamati Sweets Bakeries	"Al-Mukallah, Hadhramawt Governorate, Yemen"	"UNSC (October 17, 2002)"
21.00	Al-Haramain Islamic Foundation	"64 Poturmahala, Travnik, Bosnia and Herzegovina; Sarajevo, Bosnia and Herzegovina; Under criminal investigation by the authorities of Bosnia and Herzegovina as of Nov. 2007.  Employees and associates include Najib Ben Mohamed Ben Salem Al-Waz (listed under permanent reference number QI.A.104.03.) and Safet Durguti (listed under permanent reference number QI.D.153.03.)."	"UNSC (March 13, 2002); UNSC (December 26, 2003); UNSC (September 16, 2008)"
21.06	Vazir	"64 Poturmahala, Travnik, Bosnia and Herzegovina; Sarajevo, Bosnia and Herzegovina; Under criminal investigation by the authorities of Bosnia and Herzegovina as of Nov. 2007.  Employees and associates include Najib Ben Mohamed Ben Salem Al-Waz (listed under permanent reference number QI.A.104.03.) and Safet Durguti (listed under permanent reference number QI.D.153.03.)."	"UNSC (March 13, 2002); UNSC (December 26, 2003); UNSC (September 16, 2008)"
21.07	Vezir	"64 Poturmahala, Travnik, Bosnia and Herzegovina; Sarajevo, Bosnia and Herzegovina; Under criminal investigation by the authorities of Bosnia and Herzegovina as of Nov. 2007.  Employees and associates include Najib Ben Mohamed Ben Salem Al-Waz (listed under permanent reference number QI.A.104.03.) and Safet Durguti (listed under permanent reference number QI.D.153.03.)."	"UNSC (March 13, 2002); UNSC (December 26, 2003); UNSC (September 16, 2008)"
22.00	Al-Haramain Islamic Foundation	Somalia	"UNSC (March 13, 2002)"
23.00	Al-Itihaad al-Islamiya / AIAI	Other information: C534 (listed under permanent reference number QI.A.172.04.) and Hassan Dahir Aweys (listed under permanent reference number QI.D.42.01.)	"UNSC (October 6, 2001); UNSC (December 21, 2007)"
23.01	Al-Ittihad Al-Islam (AIAI)	Other information: Reported to operate in Somalia and Ethiopia. Leadership includes Hassan Abdullah Hersi Al-Turki (listed under permanent reference number QI.A.172.04.) and Hassan Dahir Aweys (listed under permanent reference number QI.D.42.01.)	CC (July 23 2002)
24.00	Al-Jihad		"UNSC (October 6, 2001); UNSC (March 5, 2009)"
24.02	Egyptian Al-Jihad		"UNSC (October 6, 2001); UNSC (March 5, 2009)"
24.03	Egyptian Islamic Jihad		"UNSC (October 6, 2001); UNSC (March 5, 2009)"
24.04	Jihad Group		"UNSC (October 6, 2001); UNSC (March 5, 2009)"
24.05	New Jihad		"UNSC (October 6, 2001); UNSC (March 5, 2009)"
24.07	Al Jihad (AJ)		CC (July 23 2002)
24.08	Egyptian Islamic Jihad (EIJ)		CC (July 23 2002)
24.09	Jihad islamique égyptien (JIE)		CC (July 23 2002)
24.10	Egyptian Islamic Movement		"UNSC (October 6, 2001); UNSC (March 5, 2009)"
25.00	Al-Nur Honey Press Shops	"Sanaa, Yemen; Other information: Established by Mohamed Mohamed A-Hamati from Hufash district, El Mahweet Governerate, Yemen"	"UNSC (October 17, 2001), UNSC (July 25, 2006)"
25.01	Al-Nur Honey Center	"Sanaa, Yemen; Other information: Established by Mohamed Mohamed A-Hamati from Hufash district, El Mahweet Governerate, Yemen"	"UNSC (October 17, 2001), UNSC (July 25, 2006)"
26.00	Al Qa'ida		"UNSC (October 6, 2001); UNSC (March 5, 2009)"
26.02	"""The Base"""		"UNSC (October 6, 2001); UNSC (March 5, 2009)"
26.03	Al Qaeda		"UNSC (October 6, 2001); UNSC (March 5, 2009)"
26.04	Islamic Salvation Foundation		"UNSC (October 6, 2001); UNSC (March 5, 2009)"
26.05	The Group for the Preservation of the Holy Sites		"UNSC (October 6, 2001); UNSC (March 5, 2009)"
26.06	The Islamic Army for the Liberation of Holy Places		"UNSC (October 6, 2001); UNSC (March 5, 2009)"
26.07	The World Islamic Front for Jihad Against Jews and Crusaders		"UNSC (October 6, 2001); UNSC (March 5, 2009)"
26.08	Usama Bin Laden Network		"UNSC (October 6, 2001); UNSC (March 5, 2009)"
26.09	Usama Bin Laden Organization		"UNSC (October 6, 2001); UNSC (March 5, 2009)"
26.10	Al Qaida		CC (July 23 2002)
26.11	Al-Qaïda		CC (July 23 2002)
26.12	Islamic Army		"UNSC (October 6, 2001); UNSC (March 5, 2009)"
27.00	Al Rashid Trust	"Kitas Ghar, Nazimabad 4, Dahgel-Iftah, Karachi, Pakistan; Jamia Maajid, Sulalman Park, Melgium Pura, Lahore, Pakistan; Office Dha’rbi-M’unin, Opposite Khyber Bank, Abbottabad Road, Mansehra, Pakistan; Office Dha’rbi-M’unin ZR Brothers, Katcherry Road, Chowk Yadgaar, Peshawar, Pakistan; Office Dha’rbi-M’unin, Rm No. 3, Moti Plaza, (Near Liaquat Bagh), Muree Road, Rawalpindi, Pakistan; Office Dha’rbi-M’unin, Top Floor, Dr. Dawa Khan Dental Clinic Surgeon, Main Baxae, Mingora, Swat, Pakistan; Kitab Ghar, Darul Ifta Wal Irshad, Nazimabad No. 4, Karachi, Pakistan, Phone 6683301; Phone 0300-8209199; Fax 6623814; 302b-40, Good Earth Court, Opposite Pia Planitarium, Block 13a, Gulshan-I Iqbal, Karachi; Phone 4979263; 617 Clifton Center, Block 5, 6th Floor, Clifton, Karachi; Phone 587-2545; 605 Landmark Plaza, 11 Chundrigar Road, Opposite Jang Building, Karachi, Pakistan; Phone 2623818-19; Jamia Masjid, Sulaiman Park, Begum Pura, Lahore, Pakistan; Phone 042-6812081;"	"UNSC (October 6, 2001); UNSC (October 21, 2008); UNSC (December 10, 2008)"
27.00	Al Rashid Trust	"Other information: Headquarters in Pakistan. Operations in Afghanistan: Herat Jalalabad, Kabul, Kandahar, Mazar Sherif; Also operations in Kosovo, Chechnya; It has two account numbers 05501741 and 06500138 in Habib Bank Ltd. (Foreign Exchange Branch), Pakistan; Involved in the financing of Al-Qaida and the Taliban. Until 21 Oct. 2008, this entity appeared also as ""Aid Organization of the Ulema, Pakistan"" under permanent reference number QE.A.73.02., listed on 24 Apr. 2002 and amended on 25 Jul. 2006. Based on information confirming that the two entries Al Rashid Trust (QE.A.5.01.) and Aid Organization of the Ulema, Pakistan (QE.A.73.02.) refer to the same entity, the Al-Qaida and Taliban Sanctions Committee decided on 21 Oct. 2008 to consolidate the relevant information contained in both entries in the present entry."	"UNSC (October 6, 2001); UNSC (October 21, 2008); UNSC (December 10, 2008)"
27.01	Al-Rasheed Trust	"Kitas Ghar, Nazimabad 4, Dahgel-Iftah, Karachi, Pakistan; Jamia Maajid, Sulalman Park, Melgium Pura, Lahore, Pakistan; Office Dha’rbi-M’unin, Opposite Khyber Bank, Abbottabad Road, Mansehra, Pakistan; Office Dha’rbi-M’unin ZR Brothers, Katcherry Road, Chowk Yadgaar, Peshawar, Pakistan; Office Dha’rbi-M’unin, Rm No. 3, Moti Plaza, (Near Liaquat Bagh), Muree Road, Rawalpindi, Pakistan; Office Dha’rbi-M’unin, Top Floor, Dr. Dawa Khan Dental Clinic Surgeon, Main Baxae, Mingora, Swat, Pakistan; Kitab Ghar, Darul Ifta Wal Irshad, Nazimabad No. 4, Karachi, Pakistan, Phone 6683301; Phone 0300-8209199; Fax 6623814; 302b-40, Good Earth Court, Opposite Pia Planitarium, Block 13a, Gulshan-I Iqbal, Karachi; Phone 4979263; 617 Clifton Center, Block 5, 6th Floor, Clifton, Karachi; Phone 587-2545; 605 Landmark Plaza, 11 Chundrigar Road, Opposite Jang Building, Karachi, Pakistan; Phone 2623818-19; Jamia Masjid, Sulaiman Park, Begum Pura, Lahore, Pakistan; Phone 042-6812081;"	"UNSC (October 6, 2001); UNSC (October 21, 2008); UNSC (December 10, 2008)"
27.01	Al-Rasheed Trust	"Other information: Headquarters in Pakistan. Operations in Afghanistan: Herat Jalalabad, Kabul, Kandahar, Mazar Sherif; Also operations in Kosovo, Chechnya; It has two account numbers 05501741 and 06500138 in Habib Bank Ltd. (Foreign Exchange Branch), Pakistan; Involved in the financing of Al-Qaida and the Taliban. Until 21 Oct. 2008, this entity appeared also as ""Aid Organization of the Ulema, Pakistan"" under permanent reference number QE.A.73.02., listed on 24 Apr. 2002 and amended on 25 Jul. 2006. Based on information confirming that the two entries Al Rashid Trust (QE.A.5.01.) and Aid Organization of the Ulema, Pakistan (QE.A.73.02.) refer to the same entity, the Al-Qaida and Taliban Sanctions Committee decided on 21 Oct. 2008 to consolidate the relevant information contained in both entries in the present entry."	"UNSC (October 6, 2001); UNSC (October 21, 2008); UNSC (December 10, 2008)"
27.02	Al Rasheed Trust	"Kitas Ghar, Nazimabad 4, Dahgel-Iftah, Karachi, Pakistan; Jamia Maajid, Sulalman Park, Melgium Pura, Lahore, Pakistan; Office Dha’rbi-M’unin, Opposite Khyber Bank, Abbottabad Road, Mansehra, Pakistan; Office Dha’rbi-M’unin ZR Brothers, Katcherry Road, Chowk Yadgaar, Peshawar, Pakistan; Office Dha’rbi-M’unin, Rm No. 3, Moti Plaza, (Near Liaquat Bagh), Muree Road, Rawalpindi, Pakistan; Office Dha’rbi-M’unin, Top Floor, Dr. Dawa Khan Dental Clinic Surgeon, Main Baxae, Mingora, Swat, Pakistan; Kitab Ghar, Darul Ifta Wal Irshad, Nazimabad No. 4, Karachi, Pakistan, Phone 6683301; Phone 0300-8209199; Fax 6623814; 302b-40, Good Earth Court, Opposite Pia Planitarium, Block 13a, Gulshan-I Iqbal, Karachi; Phone 4979263; 617 Clifton Center, Block 5, 6th Floor, Clifton, Karachi; Phone 587-2545; 605 Landmark Plaza, 11 Chundrigar Road, Opposite Jang Building, Karachi, Pakistan; Phone 2623818-19; Jamia Masjid, Sulaiman Park, Begum Pura, Lahore, Pakistan; Phone 042-6812081;"	"UNSC (October 6, 2001); UNSC (October 21, 2008); UNSC (December 10, 2008)"
27.02	Al Rasheed Trust	"Other information: Headquarters in Pakistan. Operations in Afghanistan: Herat Jalalabad, Kabul, Kandahar, Mazar Sherif; Also operations in Kosovo, Chechnya; It has two account numbers 05501741 and 06500138 in Habib Bank Ltd. (Foreign Exchange Branch), Pakistan; Involved in the financing of Al-Qaida and the Taliban. Until 21 Oct. 2008, this entity appeared also as ""Aid Organization of the Ulema, Pakistan"" under permanent reference number QE.A.73.02., listed on 24 Apr. 2002 and amended on 25 Jul. 2006. Based on information confirming that the two entries Al Rashid Trust (QE.A.5.01.) and Aid Organization of the Ulema, Pakistan (QE.A.73.02.) refer to the same entity, the Al-Qaida and Taliban Sanctions Committee decided on 21 Oct. 2008 to consolidate the relevant information contained in both entries in the present entry."	"UNSC (October 6, 2001); UNSC (October 21, 2008); UNSC (December 10, 2008)"
27.03	Al-Rashid Trust	"Kitas Ghar, Nazimabad 4, Dahgel-Iftah, Karachi, Pakistan; Jamia Maajid, Sulalman Park, Melgium Pura, Lahore, Pakistan; Office Dha’rbi-M’unin, Opposite Khyber Bank, Abbottabad Road, Mansehra, Pakistan; Office Dha’rbi-M’unin ZR Brothers, Katcherry Road, Chowk Yadgaar, Peshawar, Pakistan; Office Dha’rbi-M’unin, Rm No. 3, Moti Plaza, (Near Liaquat Bagh), Muree Road, Rawalpindi, Pakistan; Office Dha’rbi-M’unin, Top Floor, Dr. Dawa Khan Dental Clinic Surgeon, Main Baxae, Mingora, Swat, Pakistan; Kitab Ghar, Darul Ifta Wal Irshad, Nazimabad No. 4, Karachi, Pakistan, Phone 6683301; Phone 0300-8209199; Fax 6623814; 302b-40, Good Earth Court, Opposite Pia Planitarium, Block 13a, Gulshan-I Iqbal, Karachi; Phone 4979263; 617 Clifton Center, Block 5, 6th Floor, Clifton, Karachi; Phone 587-2545; 605 Landmark Plaza, 11 Chundrigar Road, Opposite Jang Building, Karachi, Pakistan; Phone 2623818-19; Jamia Masjid, Sulaiman Park, Begum Pura, Lahore, Pakistan; Phone 042-6812081;"	"UNSC (October 6, 2001); UNSC (October 21, 2008); UNSC (December 10, 2008)"
27.03	Al-Rashid Trust	"Other information: Headquarters in Pakistan. Operations in Afghanistan: Herat Jalalabad, Kabul, Kandahar, Mazar Sherif; Also operations in Kosovo, Chechnya; It has two account numbers 05501741 and 06500138 in Habib Bank Ltd. (Foreign Exchange Branch), Pakistan; Involved in the financing of Al-Qaida and the Taliban. Until 21 Oct. 2008, this entity appeared also as ""Aid Organization of the Ulema, Pakistan"" under permanent reference number QE.A.73.02., listed on 24 Apr. 2002 and amended on 25 Jul. 2006. Based on information confirming that the two entries Al Rashid Trust (QE.A.5.01.) and Aid Organization of the Ulema, Pakistan (QE.A.73.02.) refer to the same entity, the Al-Qaida and Taliban Sanctions Committee decided on 21 Oct. 2008 to consolidate the relevant information contained in both entries in the present entry."	"UNSC (October 6, 2001); UNSC (October 21, 2008); UNSC (December 10, 2008)"
27.04	"Aid Organization Of The Ulema, Pakistan"	"Kitas Ghar, Nazimabad 4, Dahgel-Iftah, Karachi, Pakistan; Jamia Maajid, Sulalman Park, Melgium Pura, Lahore, Pakistan; Office Dha’rbi-M’unin, Opposite Khyber Bank, Abbottabad Road, Mansehra, Pakistan; Office Dha’rbi-M’unin ZR Brothers, Katcherry Road, Chowk Yadgaar, Peshawar, Pakistan; Office Dha’rbi-M’unin, Rm No. 3, Moti Plaza, (Near Liaquat Bagh), Muree Road, Rawalpindi, Pakistan; Office Dha’rbi-M’unin, Top Floor, Dr. Dawa Khan Dental Clinic Surgeon, Main Baxae, Mingora, Swat, Pakistan; Kitab Ghar, Darul Ifta Wal Irshad, Nazimabad No. 4, Karachi, Pakistan, Phone 6683301; Phone 0300-8209199; Fax 6623814; 302b-40, Good Earth Court, Opposite Pia Planitarium, Block 13a, Gulshan-I Iqbal, Karachi; Phone 4979263; 617 Clifton Center, Block 5, 6th Floor, Clifton, Karachi; Phone 587-2545; 605 Landmark Plaza, 11 Chundrigar Road, Opposite Jang Building, Karachi, Pakistan; Phone 2623818-19; Jamia Masjid, Sulaiman Park, Begum Pura, Lahore, Pakistan; Phone 042-6812081;"	"UNSC (October 6, 2001); UNSC (October 21, 2008); UNSC (December 10, 2008)"
27.04	"Aid Organization Of The Ulema, Pakistan"	"Other information: Headquarters in Pakistan. Operations in Afghanistan: Herat Jalalabad, Kabul, Kandahar, Mazar Sherif; Also operations in Kosovo, Chechnya; It has two account numbers 05501741 and 06500138 in Habib Bank Ltd. (Foreign Exchange Branch), Pakistan; Involved in the financing of Al-Qaida and the Taliban. Until 21 Oct. 2008, this entity appeared also as ""Aid Organization of the Ulema, Pakistan"" under permanent reference number QE.A.73.02., listed on 24 Apr. 2002 and amended on 25 Jul. 2006. Based on information confirming that the two entries Al Rashid Trust (QE.A.5.01.) and Aid Organization of the Ulema, Pakistan (QE.A.73.02.) refer to the same entity, the Al-Qaida and Taliban Sanctions Committee decided on 21 Oct. 2008 to consolidate the relevant information contained in both entries in the present entry."	"UNSC (October 6, 2001); UNSC (October 21, 2008); UNSC (December 10, 2008)"
27.19	Al Amin Welfare Trust	"Kitas Ghar, Nazimabad 4, Dahgel-Iftah, Karachi, Pakistan; Jamia Maajid, Sulalman Park, Melgium Pura, Lahore, Pakistan; Office Dha’rbi-M’unin, Opposite Khyber Bank, Abbottabad Road, Mansehra, Pakistan; Office Dha’rbi-M’unin ZR Brothers, Katcherry Road, Chowk Yadgaar, Peshawar, Pakistan; Office Dha’rbi-M’unin, Rm No. 3, Moti Plaza, (Near Liaquat Bagh), Muree Road, Rawalpindi, Pakistan; Office Dha’rbi-M’unin, Top Floor, Dr. Dawa Khan Dental Clinic Surgeon, Main Baxae, Mingora, Swat, Pakistan; Kitab Ghar, Darul Ifta Wal Irshad, Nazimabad No. 4, Karachi, Pakistan, Phone 6683301; Phone 0300-8209199; Fax 6623814; 302b-40, Good Earth Court, Opposite Pia Planitarium, Block 13a, Gulshan-I Iqbal, Karachi; Phone 4979263; 617 Clifton Center, Block 5, 6th Floor, Clifton, Karachi; Phone 587-2545; 605 Landmark Plaza, 11 Chundrigar Road, Opposite Jang Building, Karachi, Pakistan; Phone 2623818-19; Jamia Masjid, Sulaiman Park, Begum Pura, Lahore, Pakistan; Phone 042-6812081;"	"UNSC (October 6, 2001); UNSC (October 21, 2008); UNSC (December 10, 2008)"
27.19	Al Amin Welfare Trust	"Other information: Headquarters in Pakistan. Operations in Afghanistan: Herat Jalalabad, Kabul, Kandahar, Mazar Sherif; Also operations in Kosovo, Chechnya; It has two account numbers 05501741 and 06500138 in Habib Bank Ltd. (Foreign Exchange Branch), Pakistan; Involved in the financing of Al-Qaida and the Taliban. Until 21 Oct. 2008, this entity appeared also as ""Aid Organization of the Ulema, Pakistan"" under permanent reference number QE.A.73.02., listed on 24 Apr. 2002 and amended on 25 Jul. 2006. Based on information confirming that the two entries Al Rashid Trust (QE.A.5.01.) and Aid Organization of the Ulema, Pakistan (QE.A.73.02.) refer to the same entity, the Al-Qaida and Taliban Sanctions Committee decided on 21 Oct. 2008 to consolidate the relevant information contained in both entries in the present entry."	"UNSC (October 6, 2001); UNSC (October 21, 2008); UNSC (December 10, 2008)"
27.20	Al Amin Trust	"Kitas Ghar, Nazimabad 4, Dahgel-Iftah, Karachi, Pakistan; Jamia Maajid, Sulalman Park, Melgium Pura, Lahore, Pakistan; Office Dha’rbi-M’unin, Opposite Khyber Bank, Abbottabad Road, Mansehra, Pakistan; Office Dha’rbi-M’unin ZR Brothers, Katcherry Road, Chowk Yadgaar, Peshawar, Pakistan; Office Dha’rbi-M’unin, Rm No. 3, Moti Plaza, (Near Liaquat Bagh), Muree Road, Rawalpindi, Pakistan; Office Dha’rbi-M’unin, Top Floor, Dr. Dawa Khan Dental Clinic Surgeon, Main Baxae, Mingora, Swat, Pakistan; Kitab Ghar, Darul Ifta Wal Irshad, Nazimabad No. 4, Karachi, Pakistan, Phone 6683301; Phone 0300-8209199; Fax 6623814; 302b-40, Good Earth Court, Opposite Pia Planitarium, Block 13a, Gulshan-I Iqbal, Karachi; Phone 4979263; 617 Clifton Center, Block 5, 6th Floor, Clifton, Karachi; Phone 587-2545; 605 Landmark Plaza, 11 Chundrigar Road, Opposite Jang Building, Karachi, Pakistan; Phone 2623818-19; Jamia Masjid, Sulaiman Park, Begum Pura, Lahore, Pakistan; Phone 042-6812081;"	"UNSC (October 6, 2001); UNSC (October 21, 2008); UNSC (December 10, 2008)"
27.20	Al Amin Trust	"Other information: Headquarters in Pakistan. Operations in Afghanistan: Herat Jalalabad, Kabul, Kandahar, Mazar Sherif; Also operations in Kosovo, Chechnya; It has two account numbers 05501741 and 06500138 in Habib Bank Ltd. (Foreign Exchange Branch), Pakistan; Involved in the financing of Al-Qaida and the Taliban. Until 21 Oct. 2008, this entity appeared also as ""Aid Organization of the Ulema, Pakistan"" under permanent reference number QE.A.73.02., listed on 24 Apr. 2002 and amended on 25 Jul. 2006. Based on information confirming that the two entries Al Rashid Trust (QE.A.5.01.) and Aid Organization of the Ulema, Pakistan (QE.A.73.02.) refer to the same entity, the Al-Qaida and Taliban Sanctions Committee decided on 21 Oct. 2008 to consolidate the relevant information contained in both entries in the present entry."	"UNSC (October 6, 2001); UNSC (October 21, 2008); UNSC (December 10, 2008)"
